"layer","goal","dimension"
"ce_status","CE","status"
"hab_coral_extent","CP","status"
"hab_land_extent","CP","status"
"hab_coral_health","CP","status"
"hab_coral_health","HAB","status"
"hab_coral_trend","CP","trend"
"hab_coral_trend","HAB","trend"
"hab_land_health","CP","status"
"hab_land_health","HAB","status"
"hab_land_trend","CP","trend"
"hab_land_trend","HAB","trend"
"cs_status_placeholder","CS","status"
"cs_status_placeholder","CS","trend"
"cw_status_placeholder","CW","status"
"cw_status_placeholder","CW","trend"
"ico_status","ICO","status"
"ico_status","ICO","trend"
"lsp_status","LSP","status"
"rao_status_placeholder","RAO","status"
"spp_status","SPP","status"
"spp_trend","SPP","trend"
"tr_status","TR","status"
"tr_status","TR","trend"
"prs_hd_trampling","CP","pressure"
"prs_hd_trampling","HAB","pressure"
"prs_hd_trampling","LSP","pressure"
"prs_hd_trampling","SPP","pressure"
"prs_mgmt","CE","pressure"
"prs_mgmt","CP","pressure"
"prs_mgmt","CW","pressure"
"prs_mgmt","HAB","pressure"
"prs_mgmt","ICO","pressure"
"prs_mgmt","LSP","pressure"
"prs_mgmt","RAO ","pressure"
"prs_mgmt","SPP","pressure"
"prs_mgmt","TR","pressure"
"prs_oa","CP","pressure"
"prs_oa","HAB","pressure"
"prs_oa","ICO","pressure"
"prs_oa","SPP","pressure"
"prs_po_tr","CP","pressure"
"prs_po_tr","CW","pressure"
"prs_po_tr","HAB","pressure"
"prs_po_tr","ICO","pressure"
"prs_slr","CP","pressure"
"prs_slr","HAB","pressure"
"prs_slr","ICO","pressure"
"prs_slr","LSP","pressure"
"prs_slr","SPP","pressure"
"prs_slr","TR","pressure"
"prs_sst","CP","pressure"
"prs_sst","CS","pressure"
"prs_sst","HAB","pressure"
"prs_sst","ICO","pressure"
"prs_sst","RAO ","pressure"
"prs_sst","SPP","pressure"
"prs_uv","CP","pressure"
"prs_uv","HAB","pressure"
"prs_uv","ICO","pressure"
"prs_uv","SPP","pressure"
"sp_alien","CP","pressure"
"sp_alien","HAB","pressure"
"sp_alien","ICO","pressure"
"sp_alien","SPP","pressure"
"res_biosecurity","ICO","resilience"
"res_fishing_reg","ICO","resilience"
"res_local_emp","CE","resilience"
"res_local_emp","ICO","resilience"
"res_local_emp","LSP","resilience"
"res_local_emp","TR","resilience"
"res_mgmt","CE","resilience"
"res_mgmt","CP","resilience"
"res_mgmt","CW","resilience"
"res_mgmt","HAB","resilience"
"res_mgmt","ICO","resilience"
"res_mgmt","LSP","resilience"
"res_mgmt","RAO","resilience"
"res_mgmt","SPP","resilience"
"res_mgmt","TR","resilience"
"res_mpa","CE","resilience"
"res_mpa","CP","resilience"
"res_mpa","HAB","resilience"
"res_mpa","ICO","resilience"
"res_mpa","LSP","resilience"
"res_mpa","RAO","resilience"
"res_mpa","SPP","resilience"
"res_spp_div","CE","resilience"
"res_spp_div","HAB","resilience"
"res_spp_div","ICO","resilience"
"res_spp_div","RAO","resilience"
