rgn_id,year,resilience_score
1,1996,0.685103898852304
1,1998,0.689807430951764
1,2000,0.695663314763434
1,2002,0.691171211910061
1,2003,0.685481212984991
1,2004,0.667203514190933
1,2005,0.675046751502163
1,2006,0.660768282769642
1,2007,0.667764220608997
1,2008,0.671075780818982
1,2009,0.659732714228904
1,2010,0.65930013647757
1,2011,0.663567780730192
1,2012,0.665856022688448
1,2013,0.658434863292681
1,2014,0.678965569344651
1,2015,0.675691184636122
1,2016,0.66809522323525
1,2017,0.667772204001067
